psu,entercollege,over475,loantakeup
488.5,1,1,1
404,0,0,0
458,0,0,0
318.5,0,0,0
398.5,0,0,0
403,0,0,0
325.5,0,0,0
408.5,0,0,0
445,0,0,0
375,0,0,0
349,0,0,0
360.5,0,0,0
475,0,1,1
469.5,0,0,0
371.5,0,0,0
324.5,0,0,0
368.5,0,0,0
486,0,1,1
482,1,1,1
433,0,0,0
384.5,0,0,0
368.5,0,0,0
427,0,0,0
441,0,0,0
336.5,0,0,0
315.5,0,0,0
512,0,1,1
328.5,0,0,0
393,1,0,0
636.5,1,1,1
557.5,1,1,1
463.5,0,0,0
399.5,1,0,0
367,0,0,0
428,0,0,0
320.5,0,0,0
398.5,0,0,0
357,0,0,0
469,1,0,0
429,1,0,0
559.5,1,1,1
450,1,0,0
457.5,0,0,0
565,1,1,1
410,0,0,0
417.5,0,0,0
405.5,0,0,0
452,1,0,0
341,1,0,0
342,1,0,0
342.5,0,0,0
496,0,1,0
449.5,1,0,0
682.5,1,1,1
360.5,0,0,0
420.5,0,0,0
481,0,1,1
403.5,0,0,0
365.5,0,0,0
447.5,0,0,0
488,1,1,0
451.5,1,0,0
556.5,1,1,0
510,1,1,1
481.5,1,1,0
405,1,0,0
